age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass_n,education_n,marital-status_n,occupation_n,relationship_n,race_n,sex_n,result_n
21,27255,10,0,0,40,3,15,3,1,3,3,1,0
32,178623,9,0,0,40,3,11,3,7,1,1,0,0
27,333296,13,0,0,30,3,9,3,7,1,3,1,0
44,261497,9,0,0,40,3,11,1,5,0,1,1,0
27,142712,14,0,0,40,3,12,3,12,1,3,1,0
23,184400,6,0,0,30,3,0,3,13,3,0,1,0
27,119793,10,0,0,55,3,15,1,2,0,3,1,0
23,386337,9,0,0,40,3,11,1,5,0,1,1,0
39,163392,9,0,0,26,3,11,1,11,0,0,1,0
22,65704,9,0,0,40,3,11,3,11,3,3,0,0
38,300975,14,0,1485,40,3,12,1,7,0,1,1,0
61,203126,13,0,0,12,3,9,0,8,1,3,0,0
41,67339,13,0,0,40,3,9,1,6,0,3,1,0
55,174533,13,0,0,72,1,9,4,7,4,3,0,0
36,74791,13,0,0,60,3,9,1,11,5,3,1,0
37,327164,10,0,0,70,5,15,1,2,0,3,1,0
34,114185,13,0,0,50,5,9,0,13,1,3,1,0
65,461715,9,0,0,25,3,11,0,11,4,3,0,0
32,261056,13,2174,0,60,5,9,3,9,3,1,0,0
17,113301,7,0,0,12,3,1,3,5,3,3,1,0
30,293936,9,0,0,50,3,11,3,7,1,3,1,0
34,591711,10,0,0,48,3,15,3,5,1,1,1,0
32,118551,13,0,0,35,3,9,1,1,5,3,0,1
33,182926,13,0,0,40,5,9,3,13,1,3,1,0
27,133359,13,0,0,50,0,9,2,0,1,3,1,0
28,226891,10,0,0,30,3,15,3,1,4,0,0,0
32,201988,15,4508,0,40,3,14,1,11,0,3,1,0
70,237065,3,2346,0,40,3,4,5,7,2,3,0,0
35,198341,13,0,0,40,3,9,1,3,0,0,1,0
50,196193,13,0,0,40,3,9,1,2,0,3,1,0
43,38537,10,0,0,38,6,15,0,3,4,1,0,0
23,237432,13,0,0,40,3,9,3,9,1,3,1,0
37,193952,9,0,0,40,3,11,0,7,1,1,0,0
39,65390,10,0,0,40,6,15,1,1,0,3,1,0
42,226020,9,0,0,60,2,11,4,7,1,1,0,0
34,210736,10,0,0,40,3,15,4,1,4,1,0,0
36,342719,16,0,0,45,5,10,1,9,0,3,1,1
20,200061,10,0,0,40,0,15,3,0,3,3,0,0
59,48102,14,0,0,40,1,12,3,9,1,3,0,1
46,149161,10,0,0,60,3,15,1,3,0,0,1,0
38,108907,9,0,0,40,3,11,0,2,1,3,1,0
57,165695,13,0,0,40,3,9,1,3,0,3,1,1
25,326370,10,0,0,38,3,15,3,1,1,3,1,0
46,268022,14,0,0,55,3,12,1,3,0,3,1,1
45,138962,10,0,0,72,5,15,1,3,0,0,1,0
22,171176,9,0,0,48,3,11,3,7,1,3,0,0
37,292370,13,0,0,50,3,9,1,9,0,2,1,1
25,226891,11,0,0,40,3,8,3,7,2,0,0,0
26,227489,10,0,0,40,3,15,3,5,2,1,1,0
45,180239,15,7688,0,40,4,14,1,3,0,0,1,1
46,195833,13,0,0,50,3,9,1,13,0,3,1,0
50,176227,13,0,0,40,3,9,1,3,0,3,1,1
42,314649,9,0,0,40,3,11,2,5,2,0,1,0
60,188650,3,0,0,40,3,4,1,11,0,3,1,1
45,47314,10,0,1902,40,3,15,1,2,0,3,1,1
50,123174,16,0,0,37,3,10,1,9,0,1,1,1
38,125933,13,0,0,40,3,9,1,3,0,3,1,1
64,199298,3,0,0,45,2,4,0,7,1,3,0,0
38,216129,13,0,0,60,3,9,0,7,1,1,0,0
31,209213,9,0,0,40,5,11,3,11,1,1,1,0
26,130620,12,0,0,40,3,7,2,2,2,0,0,0
41,169104,13,0,0,40,3,9,1,2,0,0,1,1
25,141876,14,0,0,45,3,12,3,9,4,3,1,0
54,223752,13,7688,0,40,4,9,1,3,0,3,1,1
47,228583,10,0,0,40,3,15,1,2,0,3,1,0
51,64643,9,0,0,60,3,11,3,4,1,3,1,0
46,213140,13,0,0,40,3,9,1,9,0,3,1,1
40,373050,8,0,0,40,3,2,1,7,0,3,1,0
20,178469,9,0,0,15,3,11,3,7,3,0,0,0
51,129525,9,0,0,40,4,11,3,11,2,3,1,0
28,248911,10,0,0,40,3,15,3,3,3,3,0,0
28,213152,13,0,0,40,3,9,1,1,0,3,1,1
29,368949,10,0,0,40,3,15,1,5,0,3,1,1
20,250037,10,0,0,18,0,15,3,0,3,3,0,0
34,209213,9,0,0,40,3,11,1,6,0,1,1,0
25,181691,9,0,0,60,4,11,1,11,0,3,1,0
24,29302,10,0,0,40,3,15,3,7,3,3,0,0
50,205100,4,0,0,35,3,5,1,7,5,3,0,0
60,212856,14,0,0,40,2,12,1,9,0,3,1,1
38,190895,13,0,0,40,1,9,1,9,0,3,1,1
41,192779,4,0,0,40,3,5,1,7,0,3,1,0
18,174926,5,0,0,15,3,6,3,7,3,3,1,0
49,119539,10,0,0,60,4,15,1,3,0,3,1,1
23,216672,13,0,0,30,3,9,3,3,3,3,1,0
56,268213,14,0,0,35,2,12,1,9,0,3,1,1
39,175681,13,0,0,60,3,9,1,9,0,1,1,0
28,178489,13,0,0,45,3,9,3,3,4,1,0,0
34,118551,13,5178,0,25,6,9,1,12,3,3,0,1
23,118023,10,0,0,45,3,15,3,3,1,3,1,0
35,75855,14,7298,0,40,3,12,1,9,0,1,1,1
29,112403,3,0,0,40,3,4,1,6,0,3,1,0
31,156464,13,0,0,40,2,9,3,9,2,3,1,0
26,261203,4,0,0,30,3,5,3,7,4,2,0,0
36,137421,8,0,0,45,3,2,3,13,1,0,1,0
31,190027,9,0,0,40,3,11,3,7,2,1,0,0
44,144067,13,0,0,12,3,9,0,1,1,3,1,0
66,115498,13,99999,0,55,3,9,1,3,0,3,1,1
25,149943,9,4101,0,60,3,11,3,7,2,0,1,0
28,175710,13,0,0,30,3,9,3,1,1,3,0,0
30,215441,10,0,0,40,3,15,3,1,1,2,1,0
31,251659,10,0,1485,55,3,15,1,7,0,0,1,1
42,191196,13,0,1977,60,4,9,1,3,0,3,1,1
45,199590,3,0,0,40,3,4,1,6,0,3,1,0
44,71556,14,0,0,50,4,12,1,11,0,3,1,1
58,181974,16,0,0,99,4,10,3,9,1,3,0,0
42,217597,9,0,0,50,5,11,0,11,3,3,1,0
39,107302,9,0,0,45,3,11,1,9,0,3,1,1
81,120478,11,0,0,1,0,8,0,0,4,3,0,0
